pinyintone,pinyinnone,pinyinnum,traditional,simplified,MC,OC,datasource,sensorymod
dōng~dōng~dōng,dong~dong~dong,dong1~dong1~dong1,咚咚咚,咚咚咚,NA,NA,WangWanRen,SOUND
dōng~dōng~qiāng~qiāng,dong~dong~qiang~qiang,dong1~dong1~qiang1~qiang1,咚咚鏘鏘,咚咚锵锵,NA,NA,WangWanRen,SOUND
dū~dū,du~du,du1~du1,嘟嘟,嘟嘟,NA,NA,WangWanRen,SOUND
dǔ~dǔ,du~du,du3~du3,篤篤,笃笃,towk~towk,*tˤuk~*tˤuk,WangWanRen,SOUND
dǔ~dǔ~dǔ,du~du~du,du3~du3~du3,篤篤篤,笃笃笃,towk~towk~towk,*tˤuk~*tˤuk~*tˤuk,WangWanRen,SOUND
duǒ~duǒ,duo~duo,duo3~duo3,朵朵,朵朵,NA,NA,WangWanRen,SOUND
ēn~ēn,嗯~嗯,en1~en1,嗯嗯,嗯嗯,NA,NA,WangWanRen,SOUND
ēn~ēn~a~a,嗯~嗯~a~a,en1~en1~a5~a5,嗯嗯啊啊,嗯嗯啊啊,NA,NA,WangWanRen,SOUND
ēn~ēn~wū~wū,en~en~wu~wu,en1~en1~wu1~wu1,恩恩烏烏,恩恩乌乌,'on~'on~'u~'u,*ʔˤə[n]~*ʔˤə[n]~*[ʔ]ˤa~*[ʔ]ˤa,WangWanRen,SOUND
féng~féng,feng~feng,feng2~feng2,渢渢,渢渢,NA,NA,WangWanRen,SOUND
fú~fú,fu~fu,fu2~fu2,拂拂,拂拂,phjut~phjut,*pʰ[u]t~*pʰ[u]t,WangWanRen,SOUND
fú~chī~fú~chī,fu~chi~fu~chi,fu2~chi1~fu2~chi1,咈哧咈哧,咈哧咈哧,bjut~NA~bjut,*[m-p][u]t~NA~*[m-p][u]t,WangWanRen,SOUND
fú~fú,fu~fu,fu2~fu2,咈咈,咈咈,bjut~bjut,*[m-p][u]t~*[m-p][u]t,WangWanRen,SOUND
gā,ga,ga1,嘎,嘎,NA,NA,WangWanRen,SOUND
gā~bā,ga~ba,ga1~ba1,嘎吧,嘎吧,NA,NA,WangWanRen,SOUND
gā~bā~gā~bā,ga~ba~ga~ba,ga1~ba1~ga1~ba1,嘎吧嘎吧,嘎吧嘎吧,NA,NA,WangWanRen,SOUND
gā~bā~gā~bā,ga~ba~ga~ba,ga1~ba1~ga1~ba1,嘎叭嘎叭,嘎叭嘎叭,NA,NA,WangWanRen,SOUND
gā~bēng~gā~bēng,ga~beng~ga~beng,ga1~beng1~ga1~beng1,嘎崩嘎崩,嘎崩嘎崩,NA~pong~NA~pong,NA~*Cə.pˤəŋ~NA~*Cə.pˤəŋ,WangWanRen,SOUND
gār~gār,ga~er~ga~er,gar1~gar1,嘎兒嘎兒,嘎儿嘎儿,NA~nye~NA~nye,NA~*ŋe~NA~*ŋe,WangWanRen,SOUND
gā~gā,ga~ga,ga1~ga1,嘎嘎,嘎嘎,NA,NA,WangWanRen,SOUND
gā~gū,ga~gu,ga1~gu1,嘎咕,嘎咕,NA,NA,WangWanRen,SOUND
gā~lā~lā,ga~la~la,ga1~la1~la1,嘎啦啦,嘎啦啦,NA,NA,WangWanRen,SOUND
gā~lāng~gā~lāng,ga~lang~ga~lang,ga1~lang1~ga1~lang1,嘎啷嘎啷,嘎啷嘎啷,NA,NA,WangWanRen,SOUND
gā~zhā,ga~zha,ga1~zha1,嘎喳,嘎喳,NA,NA,WangWanRen,SOUND
gā~zhī,ga~zhi,ga1~zhi1,嘎吱,嘎吱,NA,NA,WangWanRen,SOUND
gā~zhī~gā~zhī,ga~zhi~ga~zhi,ga1~zhi1~ga1~zhi1,嘎吱嘎吱,嘎吱嘎吱,NA,NA,WangWanRen,SOUND
gē~bā,ge~ba,ge1~ba1,咯吧,咯吧,NA,NA,WangWanRen,SOUND
gē~bā~gē~bā,ge~ba~ge~ba,ge1~ba1~ge1~ba1,咯叭咯叭,咯叭咯叭,NA,NA,WangWanRen,SOUND
gē~bēng,ge~beng,ge1~beng1,咯嘣,咯嘣,NA,NA,WangWanRen,SOUND
gē~bēng~bēng,ge~beng~beng,ge1~beng1~beng1,咯嘣嘣,咯嘣嘣,NA,NA,WangWanRen,SOUND
gē~bēng~gē~bēng,ge~beng~ge~beng,ge1~beng1~ge1~beng1,咯嘣咯嘣,咯嘣咯嘣,NA,NA,WangWanRen,SOUND
gē~cā,ge~ca,ge1~ca1,咯嚓,咯嚓,NA,NA,WangWanRen,SOUND
gē~dēng,ge~deng,ge1~deng1,咯噔,咯噔,NA,NA,WangWanRen,SOUND
gē~dēng~gē~dēng,ge~deng~ge~deng,ge1~deng1~ge1~deng1,咯噔咯噔,咯噔咯噔,NA,NA,WangWanRen,SOUND
gē~dōng~gē~dōng,ge~dong~ge~dong,ge1~dong1~ge1~dong1,咯咚咯咚,咯咚咯咚,NA,NA,WangWanRen,SOUND
gē~ér,ge~er,ge1~er2,咯兒,咯儿,NA~nye,NA~*ŋe,WangWanRen,SOUND
gē~gē,ge~ge,ge1~ge1,咯咯,咯咯,NA,NA,WangWanRen,SOUND
gē~gē~dā~dā,ge~ge~ta~ta,ge1~ge1~da1~da1,咯咯嗒嗒,咯咯嗒嗒,NA,NA,WangWanRen,SOUND
