pinyinnum,pinyintone,pinyinnone,traditional,simplified,MC,OC,radsup,morph,variant,Kroll,sensorymod,zdic,note,datasource,morphology
ding1~dong1~ding1~dong1,dīng~dōng~dīng~dōng,ding~dong~ding~dong,丁冬丁冬,丁冬丁冬,teng~towng~teng~towng,*tˤeŋ~*tˤuŋ~*tˤeŋ~*tˤuŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~dong1~ding1~dong1,dīng~dōng~dīng~dōng,ding~dong~ding~dong,叮咚叮咚,叮咚叮咚,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ling2,dīng~líng,ding~ling,丁零,丁零,teng~leng,*tˤeŋ~*[r]ˤiŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ling2,dīng~líng,ding~ling,丁玲,丁玲,teng,*tˤeŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ling2,dīng~líng,ding~ling,玎玲,玎玲,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ling2~dang1~lang1,dīng~líng~dāng~lāng,ding~ling~dang~lang,丁零當啷,丁零当啷,teng~leng~tang,*tˤeŋ~*[r]ˤiŋ~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ling2~ding1~ling2,dīng~líng~dīng~líng,ding~ling~ding~ling,丁零丁零,丁零丁零,teng~leng~teng~leng,*tˤeŋ~*[r]ˤiŋ~*tˤeŋ~*[r]ˤiŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
ding1~ling2~ling2,dīng~líng~líng,ding~ling~ling,叮鈴鈴,叮铃铃,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1,dōng,dong,東,东,tuwng,*tˤoŋ (< *tˤoŋʔ ?),NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1,dōng,dong,冬,冬,towng,*tˤuŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1,dōng,dong,咚,咚,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1~ding1,dōng~dīng,dong~ding,東丁,东丁,tuwng~teng,*tˤoŋ (< *tˤoŋʔ ?)~*tˤeŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1~dong1,dōng~dōng,dong~dong,冬冬,冬冬,towng~towng,*tˤuŋ~*tˤuŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1~dong1,dōng~dōng,dong~dong,咚咚,咚咚,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1~dong1~cha2,dōng~dōng~chá,dong~dong~cha,咚咚察,咚咚察,NA~NA~tsrheat,NA~NA~*[tsʰ]ˤret,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
dong1~dong1~dang1~dang1,dōng~dōng~dāng~dāng,dong~dong~dang~dang,冬冬當當,冬冬当当,towng~towng~tang~tang,*tˤuŋ~*tˤuŋ~*tˤaŋ~*tˤaŋ,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
du1,dū,du,嘟,嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
du1~du1,dū~dū,du~du,嘟嘟,嘟嘟,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
du1~du1~nang1~nang1,dū~dū~nāng~nāng,du~du~nang~nang,嘟嘟囔囔,嘟嘟囔囔,NA,NA,NA,NA,NA,NA,SOUND,NA,NA,Gong,NA
