traditional,simplified,pyoriginal,pinyintone,pinyinnum,morphology,sensorymod,datasource,inbetween,same
迴合,回合,huíhé,húi~hé,hui2~he2,ALLIT,VISUAL,Tang,húihé,different
逢逢,逢逢,féng féng,péng~péng,peng2~peng2,REDUPLICATION,SOUND,Shijing,féngféng~ ~p~é~n~g~ ~p~é~n~g,different
遊敖,遊敖,yóu áo/yóu áo,yóu~áo,you2~ao2,DIFFERENT,MOVEMENT,Shijing,yóuáo~/~yóu~áo,different
遊遨,遊遨,yóu áo/yóu áo,yóu~áo,you2~ao2,DIFFERENT,MOVEMENT,Shijing,yóuáo~/~yóu~áo,different
遲遲,迟迟,chí chí,chí~chí,chi2~chi2,REDUPLICATION,EVALUATION,Shijing,chíchí,different
遲遲,迟迟,chí chí,chí~chí,chi2~chi2,REDUPLICATION,MOVEMENT,Shijing,chíchí,different
遲遲,迟迟,chí chí,chí~chí,chi2~chi2,REDUPLICATION,TIME,Shijing,chíchí,different
遲遲,迟迟,chí chí,chí~chí,chi2~chi2,REDUPLICATION,TIME,Shijing,chíchí,different
遲遲,迟迟,chí chí,chí~chí,chi2~chi2,REDUPLICATION,TIME+EVALUATION,Shijing,chíchí,different
邁邁,迈迈,mài mài,mài~mài,mai4~mai4,REDUPLICATION,FEELING+EVALUATION,Shijing,màimài,different
邐迤,逦迤,lǐyí,lǐ~yǐ,li3~yi3,RHYME,MOVEMENT,Tang,lǐyǐ,different
鄰鄰,邻邻,lín lín,lín~lín,lin2~lin2,REDUPLICATION,SOUND+VISUAL,Shijing,línlín,different
采采,采采,cǎi cǎi,cǎi~cǎi,cai3~cai3,REDUPLICATION,VISUAL,Shijing,cǎicǎi,different
采采,采采,cǎi cǎi,cǎi~cǎi,cai3~cai3,REDUPLICATION,VISUAL,Shijing,cǎicǎi,different
鏘鏘,锵锵,qiāng qiāng,qiāng~qiāng,qiang1~qiang1,REDUPLICATION,SOUND,Shijing,qiāngqiāng,different
鏘鏘,锵锵,qiāng qiāng,qiāng~qiāng,qiang1~qiang1,REDUPLICATION,SOUND,Shijing,qiāngqiāng,different
鑣鑣,镳镳,biāo biāo,biāo~biāo,biao1~biao1,REDUPLICATION,VISUAL,Shijing,biāobiāo,different
閑閑,闲闲,xián xián,xián~xián,xian2~xian2,REDUPLICATION,VISUAL+EVALUATION,Shijing,xiánxián,different
閑閑,闲闲,xián xián,xián~xián,xian2~xian2,REDUPLICATION,VISUAL+EVALUATION,Shijing,xiánxián,different
閒關,闲关,jiān guān,jiān~guān,jian1~guan1,PARARHYME,SOUND+MOVEMENT,Shijing,jiānguān~/~xián~guān,different
間關,间关,jiān guān,jiān~guān,jian1~guan1,PARARHYME,SOUND+MOVEMENT,Shijing,jiānguān~/~xián~guān,different
閣閤,阁合,gé hé,gé~gé,ge2~ge2,REDUPLICATION,VISUAL,Shijing,gégé,different
闐闐,阗阗,tián tián,tián~tián,tian2~tian2,REDUPLICATION,SOUND,Shijing,tiántián,different
關關,关关,guān guān,guān~guān,guan1~guan1,REDUPLICATION,SOUND,Shijing,guānguān,different
