pinyinnum,traditional,simplified,morph,morphnew,pinyinnum_1,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq,morphnew
de2~long2~de2~long2~dong1,得龍得龍咚,得龙得龙咚,,RRRRR,de2~long2~de2~long2~dong1,,,,,,,,,,,,,A
nian4,念,念,,A,nian4,念,,,,"338,5432",,,,55,,,,A
peng1,怦,怦,,A,peng1,怦,,,,"1,5654",,,,2,,,,A
pu1,扑,扑,,A,pu1,扑,,,,"126,7753",,,,21,,,,A
tuo1,托,托,,A,tuo1,托,,,,"149,3383",,,,34,,,,A
niu3,扭,扭,,A,niu3,扭,,,,"32,5877",,,,12,,,,A
pai1,拍,拍,,A,pai1,拍,,,,"286,2963",,,,40,,,,A
ca1,擦,擦,,A,ca1,擦,,,,"121,3926",,,,17,,,,A
bang1,梆,梆,,A,bang1,梆,,,,"0,5235",,,,1,,,,A
leng2,楞,楞,,A,leng2,楞,,,,"2,9728",,,,0,,,,A
tuo2,橐,橐,,A,tuo2,橐,,,,,,,,,,,,A
wang1,汪,汪,,A,wang1,汪,,,,"11,0864",,,,6,,,,A
sha1,沙,沙,,A,sha1,沙,,,,134,,,,72,,,,A
fei4,沸,沸,,A,fei4,沸,,,,"17,6988",,,,6,,,,A
qiu1,湫,湫,,A,qiu1,湫,,,,,,,,,,,,A
jian4,濺,溅,,A,jian4,溅,,,,"4,2469",,,,2,,,,A
liu1,溜,溜,,A,liu1,溜,,,,34558,,,,22,,,,A
di1,滴,滴,,A,di1,滴,,,,"219,4667",,,,14,,,,A
chan2,潺,潺,,A,chan2,潺,,,,,,,,,,,,A
lie4,獵,猎,,A,lie4,猎,,,,"28,6272",,,,24,,,,A
mao1,貓,猫,,A,mao1,猫,,,,"185,0617",,,,13,,,,A
ling2,玲,玲,,A,ling2,玲,,,,"21,1605",,,,3,,,,A
cheng1,琤,琤,,A,cheng1,琤,,,,,,,,,,,,A
cong2,琮,琮,,A,cong2,琮,,,,,,,,,,,,A
se4,瑟,瑟,,A,se4,瑟,,,,"39,8025",,,,2,,,,A
rong2,瑢,瑢,,A,rong2,瑢,,,,,,,,,,,,A
dang1,璫,璫,,A,dang1,璫,,,,,,,,,,,,A
deng1,登,登,,A,deng1,登,,,,"263,3926",,,,44,,,,A
hua1,砉,砉,,A,hua1,砉,,,,,,,,,,,,A
peng1,砰,砰,,A,peng1,砰,,,,"3,3877",,,,1,,,,A
keng1,硜,硜,,A,keng1,硜,,,,,,,,,,,,A
pang1,磅,磅,,A,pang1,磅,,,,"11,7778",,,,3,,,,A
ke1,磕,磕,,A,ke1,磕,,,,"8,0741",,,,4,,,,A
peng1,磞,磞,,A,peng1,磞,,,,,,,,,,,,A
keng1,礥,礥,,A,keng1,礥,,,,,,,,,,,,A
kong1,空,空,,A,kong1,空,,,,"489,2988",,,,158,,,,A
tu1,突,突,,A,tu1,突,,,,"308,9185",,,,24,,,,A
du3,篤,笃,,A,du3,笃,,,,"1,8469",,,,2,,,,A
da2,答,答,,A,da2,答,,,,"197,2049",,,,25,,,,A
su4,簌,簌,,A,su4,簌,,,,,,,,,,,,A
da1,耷,耷,,A,da1,耷,,,,"0,3951",,,,1,,,,A
teng2,騰,腾,,A,teng2,腾,,,,"120,0049",,,,23,,,,A
luo4,落,落,,A,luo4,落,,,,"304,3951",,,,111,,,,A
luo4~luo4~luo4~luo4~xu1,落落落落噓,落落落落嘘,,RRRRR,luo4~luo4~luo4~luo4~xu1,,,,,,,,,,,,,A
peng2,蓬,蓬,,A,peng2,蓬,,,,"8,1136",,,,13,,,,A
qu1,蛐,蛐,,A,qu1,蛐,,,,"0,1481",,,,1,,,,A
