traditional,simplified,pinyinnum,morph,morphnew,morphnewer,H1,H2,H3,H4,H1.freq,H2.freq,H3.freq,H4.freq,H1.comb.freq,H2.comb.freq,H3.comb.freq,H4.comb.freq
蛇蛇,蛇蛇,yi2~yi2,,BB,BB,蛇,蛇,,,"35,1753","35,1753",,,17,17,,
蟄蟄,蛰蛰,zhe2~zhe2,RED,BB,BB,蛰,蛰,,,1037,1037,,,2,2,,
蟄蟄,蛰蛰,zhe2~zhe2,,BB,BB,蛰,蛰,,,1037,1037,,,2,2,,
蜎蜎,蜎蜎,yuan1~yuan1,RED,BB,BB,蜎,蜎,,,,,,,,,,
蜎蜎,蜎蜎,yuan1~yuan1,,BB,BB,蜎,蜎,,,,,,,,,,
蜿蜿,蜿蜿,wan1~wan1,RED,BB,BB,蜿,蜿,,,"0,7753","0,7753",,,1,1,,
蝡蝡,蝡蝡,ruan3~ruan3,RED,BB,BB,蝡,蝡,,,,,,,,,,
融融,融融,rong2~rong2,RED,BB,BB,融,融,,,"47,1556","47,1556",,,20,20,,
蟫蟫,蟫蟫,xun2~xun2,RED,BB,BB,蟫,蟫,,,,,,,,,,
蠕蠕,蠕蠕,ru2~ru2,RED,BB,BB,蠕,蠕,,,"3,2296","3,2296",,,2,2,,
蠢蠢,蠢蠢,chun3~chun3,RED,BB,BB,蠢,蠢,,,"51,4123","51,4123",,,9,9,,
行行,行行,hang4~hang4,RED,BB,BB,行,行,,,"1328,2914","1328,2914",,,243,243,,
衎衎,衎衎,kan4~kan4,RED,BB,BB,衎,衎,,,,,,,,,,
衙衙,衙衙,yu2~yu2,RED,BB,BB,衙,衙,,,"0,6963","0,6963",,,1,1,,
裊裊,袅袅,niao3~niao3,RED,BB,BB,袅,袅,,,"2,2123","2,2123",,,0,0,,
裶裶,裶裶,fei1~fei1,RED,BB,BB,裶,裶,,,,,,,,,,
褭褭,褭褭,niao3~niao3,RED,BB,BB,褭,褭,,,,,,,,,,
褭褭,袅袅,niao3~niao3,,BB,BB,袅,袅,,,"2,2123","2,2123",,,0,0,,
角角,角角,gu3~gu3,RED,BB,BB,角,角,,,"263,2444","263,2444",,,83,83,,
角角,角角,gu3~gu3,,BB,BB,角,角,,,"263,2444","263,2444",,,83,83,,
訏訏,訏訏,xu1~xu1,RED,BB,BB,訏,訏,,,,,,,,,,
訏訏,訏訏,xu1~xu1,,BB,BB,訏,訏,,,,,,,,,,
訑訑,訑訑,yi2~yi2,RED,BB,BB,訑,訑,,,,,,,,,,
訢訢,訢訢,xin1~xin1,RED,BB,BB,訢,訢,,,,,,,,,,
訩訩,訩訩,xiong1~xiong1,RED,BB,BB,訩,訩,,,,,,,,,,
訰訰,訰訰,zhun1~zhun1,RED,BB,BB,訰,訰,,,,,,,,,,
詹詹,詹詹,zhan1~zhan1,RED,BB,BB,詹,詹,,,"17,0123","17,0123",,,0,0,,
詾詾,詾詾,xiong1~xiong1,RED,BB,BB,詾,詾,,,,,,,,,,
誙誙,誙誙,keng1~keng1,RED,BB,BB,誙,誙,,,,,,,,,,
誾誾,誾誾,yin2~yin2,RED,BB,BB,誾,誾,,,,,,,,,,
諓諓,諓諓,jian4~jian4,RED,BB,BB,諓,諓,,,,,,,,,,
譊譊,譊譊,nao2~nao2,RED,BB,BB,譊,譊,,,,,,,,,,
詵詵,诜诜,shen1~shen1,RED,BB,BB,诜,诜,,,,,,,,,,
詵詵,诜诜,shen1~shen1,,BB,BB,诜,诜,,,,,,,,,,
詡詡,诩诩,xu3~xu3,RED,BB,BB,诩,诩,,,"0,7309","0,7309",,,1,1,,
諤諤,谔谔,e4~e4,RED,BB,BB,谔,谔,,,,,,,,,,
謖謖,谡谡,su4~su4,RED,BB,BB,谡,谡,,,,,,,,,,
謙謙,谦谦,qian1~qian1,RED,BB,BB,谦,谦,,,"28,3407","28,3407",,,9,9,,
譙譙,谯谯,qiao2~qiao2,RED,BB,BB,谯,谯,,,,,,,,,,
譙譙,谯谯,qiao2~qiao2,,BB,BB,谯,谯,,,,,,,,,,
谹谹,谹谹,hong2~hong2,RED,BB,BB,谹,谹,,,,,,,,,,
趯趯,趯趯,ti4~ti4,RED,BB,BB,趯,趯,,,,,,,,,,
趯趯,趯趯,ti4~ti4,,BB,BB,趯,趯,,,,,,,,,,
躍躍,跃跃,yue4~yue4,RED,BB,BB,跃,跃,,,"39,9654","39,9654",,,18,18,,
躍躍,跃跃,yue4~yue4,,BB,BB,跃,跃,,,"39,9654","39,9654",,,18,18,,
蹌蹌,跄跄,qiang1~qiang1,RED,BB,BB,跄,跄,,,"0,3259","0,3259",,,2,2,,
蹌蹌,跄跄,qiang1~qiang1,,BB,BB,跄,跄,,,"0,3259","0,3259",,,2,2,,
跕跕,跕跕,die2~die2,RED,BB,BB,跕,跕,,,,,,,,,,
躚躚,跹跹,xian1~xian1,RED,BB,BB,跹,跹,,,,,,,,,,
踖踖,踖踖,ji2~ji2,RED,BB,BB,踖,踖,,,,,,,,,,
踖踖,踖踖,ji2~ji2,,BB,BB,踖,踖,,,,,,,,,,
踧踧,踧踧,cu4~cu4,RED,BB,BB,踧,踧,,,,,,,,,,
踧踧,踧踧,cu4~cu4,,BB,BB,踧,踧,,,,,,,,,,
踽踽,踽踽,ju3~ju3,RED,BB,BB,踽,踽,,,,,,,,,,
踽踽,踽踽,ju3~ju3,,BB,BB,踽,踽,,,,,,,,,,
蹀蹀,蹀蹀,die2~die2,RED,BB,BB,蹀,蹀,,,,,,,,,,
蹡蹡,蹡蹡,qiang1~qiang1,RED,BB,BB,蹡,蹡,,,,,,,,,,
蹻蹻,蹻蹻,qiao1~qiao1,RED,BB,BB,蹻,蹻,,,,,,,,,,
蹻蹻,蹻蹻,jiao3~jiao3,,BB,BB,蹻,蹻,,,,,,,,,,
躣躣,躣躣,qu2~qu2,RED,BB,BB,躣,躣,,,,,,,,,,
輷輷,輷輷,hong1~hong1,RED,BB,BB,輷,輷,,,,,,,,,,
輷輷,輷輷,hong1~hong1,,BB,BB,輷,輷,,,,,,,,,,
轠轠,轠轠,lei2~lei2,RED,BB,BB,轠,轠,,,,,,,,,,
軋軋,轧轧,ya4~ya4,RED,BB,BB,轧,轧,,,"1,3383","1,3383",,,1,1,,
軋軋,轧轧,ya4~ya4,,BB,BB,轧,轧,,,"1,3383","1,3383",,,1,1,,
軒軒,轩轩,xuan1~xuan1,RED,BB,BB,轩,轩,,,"20,8198","20,8198",,,2,2,,
轟轟,轰轰,hong1~hong1,RED,BB,BB,轰,轰,,,"22,1531","22,1531",,,14,14,,
轟轟,轰轰,hong1~hong1,,BB,BB,轰,轰,,,"22,1531","22,1531",,,14,14,,
輯輯,辑辑,ji2~ji2,RED,BB,BB,辑,辑,,,"51,8321","51,8321",,,10,10,,
轔轔,辚辚,lin2~lin2,RED,BB,BB,辚,辚,,,,,,,,,,
轔轔,辚辚,lin2~lin2,,BB,BB,辚,辚,,,,,,,,,,
邁邁,迈迈,mai4~mai4,RED,BB,BB,迈,迈,,,39679,39679,,,12,12,,
邁邁,迈迈,mai4~mai4,,BB,BB,迈,迈,,,39679,39679,,,12,12,,
連連,连连,lian2~lian2,RED,BB,BB,连,连,,,472637,472637,,,81,81,,
連連,连连,lian2~lian2,,BB,BB,连,连,,,472637,472637,,,81,81,,
迢迢,迢迢,tiao2~tiao2,RED,BB,BB,迢,迢,,,"1,7383","1,7383",,,1,1,,
迢迢,迢迢,tiao2~tiao2,,BB,BB,迢,迢,,,"1,7383","1,7383",,,1,1,,
逄逄,逄逄,pang2~pang2,RED,BB,BB,逄,逄,,,,,,,,,,
逖逖,逖逖,ti4~ti4,RED,BB,BB,逖,逖,,,,,,,,,,
速速,速速,su4~su4,RED,BB,BB,速,速,,,"818,8049","818,8049",,,60,60,,
逢逢,逢逢,peng2~peng2,RED,BB,BB,逢,逢,,,"32,3358","32,3358",,,14,14,,
逢逢,逢逢,peng2~peng2,,BB,BB,逢,逢,,,"32,3358","32,3358",,,14,14,,
逢逢,逢逢,pang2~pang2,,BB,BB,逢,逢,,,"32,3358","32,3358",,,14,14,,
逮逮,逮逮,di4~di4,RED,BB,BB,逮,逮,,,19842,19842,,,2,2,,
逯逯,逯逯,lu4~lu4,RED,BB,BB,逯,逯,,,,,,,,,,
逴逴,逴逴,chuo1~chuo1,RED,BB,BB,逴,逴,,,,,,,,,,
遙遙,遥遥,yao2~yao2,RED,BB,BB,遥,遥,,,"45,7728","45,7728",,,13,13,,
邴邴,邴邴,bing3~bing3,RED,BB,BB,邴,邴,,,,,,,,,,
郁郁,郁郁,yu4~yu4,RED,BB,BB,郁,郁,,,"90,9728","90,9728",,,13,13,,
醰醰,醰醰,tan2~tan2,RED,BB,BB,醰,醰,,,,,,,,,,
醳醳,醳醳,yi4~yi4,RED,BB,BB,醳,醳,,,,,,,,,,
鉠鉠,鉠鉠,yang1~yang1,RED,BB,BB,鉠,鉠,,,,,,,,,,
鍠鍠,鍠鍠,huang2~huang2,RED,BB,BB,鍠,鍠,,,,,,,,,,
鍠鍠,鍠鍠,huang2~huang2,,BB,BB,鍠,鍠,,,,,,,,,,
鎗鎗,鎗鎗,qiang1~qiang1,RED,BB,BB,鎗,鎗,,,,,,,,,,
欽欽,钦钦,qin1~qin1,RED,BB,BB,钦,钦,,,"3,8074","3,8074",,,2,2,,
欽欽,钦钦,qin1~qin1,,BB,BB,钦,钦,,,"3,8074","3,8074",,,2,2,,
鈴鈴,铃铃,ling2~ling2,RED,BB,BB,铃,铃,,,"26,4198","26,4198",,,16,16,,
鈴鈴,铃铃,ling2~ling2,,BB,BB,铃,铃,,,"26,4198","26,4198",,,16,16,,
鐺鐺,铛铛,dang1~dang1,RED,BB,BB,铛,铛,,,"2,8395","2,8395",,,2,2,,
鐺鐺,铛铛,dang1~dang1,,BB,BB,铛,铛,,,"2,8395","2,8395",,,2,2,,
錚錚,铮铮,zheng1~zheng1,RED,BB,BB,铮,铮,,,"1,4074","1,4074",,,1,1,,
錚錚,铮铮,zheng1~zheng1,,BB,BB,铮,铮,,,"1,4074","1,4074",,,1,1,,
錚錚,铮铮,cheng1~cheng1,,BB,BB,铮,铮,,,"1,4074","1,4074",,,1,1,,
鏗鏗,铿铿,keng1~keng1,RED,BB,BB,铿,铿,,,"0,8988","0,8988",,,2,2,,
鏗鏗,铿铿,keng1~keng1,,BB,BB,铿,铿,,,"0,8988","0,8988",,,2,2,,
鏘鏘,锵锵,qiang1~qiang1,RED,BB,BB,锵,锵,,,"1,6444","1,6444",,,2,2,,
鏘鏘,锵锵,qiang1~qiang1,,BB,BB,锵,锵,,,"1,6444","1,6444",,,2,2,,
鏃鏃,镞镞,zu2~zu2,RED,BB,BB,镞,镞,,,,,,,,,,
鑣鑣,镳镳,biao1~biao1,RED,BB,BB,镳,镳,,,"0,9432","0,9432",,,1,1,,
鑣鑣,镳镳,biao1~biao1,,BB,BB,镳,镳,,,"0,9432","0,9432",,,1,1,,
閒閒,閒閒,xian2~xian2,RED,BB,BB,閒,閒,,,,,,,,,,
閤閤,閤閤,ge2~ge2,RED,BB,BB,閤,閤,,,,,,,,,,
閔閔,闵闵,min3~min3,RED,BB,BB,闵,闵,,,"2,3901","2,3901",,,0,0,,
悶悶,闷闷,men4~men4,RED,BB,BB,闷,闷,,,"109,2988","109,2988",,,15,15,,
閬閬,阆阆,lang2~lang2,RED,BB,BB,阆,阆,,,,,,,,,,
闐闐,阗阗,tian2~tian2,RED,BB,BB,阗,阗,,,,,,,,,,
闐闐,阗阗,tian2~tian2,,BB,BB,阗,阗,,,,,,,,,,
陣陣,阵阵,zhen4~zhen4,RED,BB,BB,阵,阵,,,"91,9605","91,9605",,,40,40,,
陶陶,陶陶,tao2~tao2,RED,BB,BB,陶,陶,,,"17,0519","17,0519",,,10,10,,
陶陶,陶陶,tao2~tao2,,BB,BB,陶,陶,,,"17,0519","17,0519",,,10,10,,
陾陾,陾陾,reng2~reng2,RED,BB,BB,陾,陾,,,,,,,,,,
陾陾,陾陾,reng2~reng2,,BB,BB,陾,陾,,,,,,,,,,
雝雝,雝雝,yong1~yong1,RED,BB,BB,雝,雝,,,,,,,,,,
雝雝,雍雍,yong1~yong1,,BB,BB,雍,雍,,,"4,4494","4,4494",,,2,2,,
雰雰,雰雰,fen1~fen1,RED,BB,BB,雰,雰,,,,,,,,,,
雰雰,氛氛,fen1~fen1,,BB,BB,氛,氛,,,"43,6494","43,6494",,,2,2,,
霍霍,霍霍,huo4~huo4,RED,BB,BB,霍,霍,,,"39,7333","39,7333",,,3,3,,
霍霍,霍霍,huo4~huo4,,BB,BB,霍,霍,,,"39,7333","39,7333",,,3,3,,
霎霎,霎霎,sha4~sha4,RED,BB,BB,霎,霎,,,"1,5111","1,5111",,,4,4,,
霎霎,霎霎,sha4~sha4,,BB,BB,霎,霎,,,"1,5111","1,5111",,,4,4,,
霏霏,霏霏,fei1~fei2,RED,BB,BB,霏,霏,,,,,,,,,,
霏霏,霏霏,fei1~fei1,,BB,BB,霏,霏,,,,,,,,,,
靄靄,霭霭,ai3~ai3,RED,BB,BB,霭,霭,,,"0,5481","0,5481",,,1,1,,
鞅鞅,鞅鞅,yang1~yang1,RED,BB,BB,鞅,鞅,,,,,,,,,,
韡韡,韡韡,wei3~wei3,RED,BB,BB,韡,韡,,,,,,,,,,
韡韡,韡韡,wei3~wei3,,BB,BB,韡,韡,,,,,,,,,,
顒顒,顒顒,yong2~yong2,RED,BB,BB,顒,顒,,,,,,,,,,
顒顒,颙颙,yong2~yong2,,BB,BB,颙,颙,,,,,,,,,,
頊頊,顼顼,xu1~xu1,RED,BB,BB,顼,顼,,,,,,,,,,
顛顛,颠颠,dian1~dian1,RED,BB,BB,颠,颠,,,"26,6074","26,6074",,,9,9,,
颲颲,颲颲,lie4~lie4,RED,BB,BB,颲,颲,,,,,,,,,,
颿颿,颿颿,fan1~fan1,RED,BB,BB,颿,颿,,,,,,,,,,
飀飀,飀飀,liu2~liu2,RED,BB,BB,飀,飀,,,,,,,,,,
飀飀,飀飀,liu2~liu2,,BB,BB,飀,飀,,,,,,,,,,
飂飂,飂飂,liao2~liao2,RED,BB,BB,飂,飂,,,,,,,,,,
飉飉,飉飉,liao2~liao2,RED,BB,BB,飉,飉,,,,,,,,,,
颯颯,飒飒,sa4~sa4,RED,BB,BB,飒,飒,,,"0,6963","0,6963",,,2,2,,
颯颯,飒飒,sa4~sa4,,BB,BB,飒,飒,,,"0,6963","0,6963",,,2,2,,
颼颼,飕飕,sou1~sou1,RED,BB,BB,飕,飕,,,"1,0074","1,0074",,,2,2,,
颼颼,飕飕,sou1~sou1,,BB,BB,飕,飕,,,"1,0074","1,0074",,,2,2,,
飄飄,飘飘,piao1~piao1,RED,BB,BB,飘,飘,,,"63,8173","63,8173",,,26,26,,
飄飄,飘飘,piao1~piao1,,BB,BB,飘,飘,,,"63,8173","63,8173",,,26,26,,
馞馞,馞馞,bo2~bo2,RED,BB,BB,馞,馞,,,,,,,,,,
駉駉,駉駉,jiong1~jiong1,RED,BB,BB,駉,駉,,,,,,,,,,
駉駉,駉駉,jiong1~jiong1,,BB,BB,駉,駉,,,,,,,,,,
駓駓,駓駓,pi1~pi1,RED,BB,BB,駓,駓,,,,,,,,,,
駸駸,駸駸,qin1~qin1,RED,BB,BB,駸,駸,,,,,,,,,,
駸駸,骎骎,qin1~qin1,,BB,BB,骎,骎,,,,,,,,,,
騑騑,騑騑,fei1~fei1,RED,BB,BB,騑,騑,,,,,,,,,,
騑騑,騑騑,fei1~fei1,,BB,BB,騑,騑,,,,,,,,,,
騤騤,騤騤,kui2~kui2,RED,BB,BB,騤,騤,,,,,,,,,,
騤騤,騤騤,kui2~kui2,,BB,BB,騤,騤,,,,,,,,,,
鬱鬱,鬱鬱,yu4~yu4,RED,BB,BB,鬱,鬱,,,,,,,,,,
鶂鶂,鶂鶂,yi4~yi4,RED,BB,BB,鶂,鶂,,,,,,,,,,
鶬鶬,鶬鶬,cang1~cang1,RED,BB,BB,鶬,鶬,,,,,,,,,,
鶬鶬,鶬鶬,cang1~cang1,,BB,BB,鶬,鶬,,,,,,,,,,
鶬鶬,鶬鶬,qiang1~qiang1,,BB,BB,鶬,鶬,,,,,,,,,,
麌麌,麌麌,yu3~yu3,RED,BB,BB,麌,麌,,,,,,,,,,
麌麌,麌麌,yu3~yu3,,BB,BB,麌,麌,,,,,,,,,,
默默,默默,mo4~mo4,RED,BB,BB,默,默,,,"134,6667","134,6667",,,19,19,,
默默,默默,mo4~mo4,,BB,BB,默,默,,,"134,6667","134,6667",,,19,19,,
黝黝,黝黝,you3~you3,RED,BB,BB,黝,黝,,,"0,3951","0,3951",,,2,2,,
黮黮,黮黮,tan3~tan3,RED,BB,BB,黮,黮,,,,,,,,,,
齗齗,齗齗,yin2~yin2,RED,BB,BB,齗,齗,,,,,,,,,,
齦齦,龈龈,yin2~yin2,RED,BB,BB,龈,龈,,,"3,0025","3,0025",,,3,3,,
丕丕,丕丕,pu1~pu1,RED,BB,BB,丕,丕,,,,,,,,,,
絲絲,丝丝,si1~si1,RED,BB,BB,丝,丝,,,"202,4988","202,4988",,,51,51,,
丸丸,丸丸,wan2~wan2,RED,BB,BB,丸,丸,,,"31,4568","31,4568",,,10,10,,
乓乓,乓乓,pang1~pang1,RED,BB,BB,乓,乓,,,"3,9506","3,9506",,,5,5,,
交交,交交,jiao1~jiao1,RED,BB,BB,交,交,,,"405,7926","405,7926",,,145,145,,
京京,京京,jing1~jing1,RED,BB,BB,京,京,,,"230,6469","230,6469",,,10,10,,
仇仇,仇仇,chou2~chou2,RED,BB,BB,仇,仇,,,"29,8963","29,8963",,,20,20,,
倉倉,仓仓,cang1~cang1,RED,BB,BB,仓,仓,,,"30,6765","30,6765",,,17,17,,
僊僊,仙仙,xian1~xian1,RED,BB,BB,仙,仙,,,"77,2198","77,2198",,,28,28,,
令令,令令,ling4~ling4,,BB,BB,令,令,,,"154,9333","154,9333",,,54,54,,
伎伎,伎伎,ji4~ji4,,BB,BB,伎,伎,,,2158,2158,,,4,4,,
休休,休休,xiu1~xiu1,,BB,BB,休,休,,,"215,9012","215,9012",,,42,42,,
優優,优优,you1~you1,,BB,BB,优,优,,,"172,9531","172,9531",,,34,34,,
佌佌,佌佌,ci3~ci3,,BB,BB,佌,佌,,,,,,,,,,
佗佗,佗佗,tuo2~tuo2,,BB,BB,佗,佗,,,"0,3704","0,3704",,,0,0,,
俟俟,俟俟,si4~si4,,BB,BB,俟,俟,,,,,,,,,,
俁俁,俣俣,yu3~yu3,,BB,BB,俣,俣,,,"0,0395","0,0395",,,1,1,,
偕偕,偕偕,xie2~xie2,,BB,BB,偕,偕,,,"4,6914","4,6914",,,1,1,,
傍傍,傍傍,bang4~bang4,,BB,BB,傍,傍,,,"7,0519","7,0519",,,3,3,,
儦儦,儦儦,biao1~biao1,,BB,BB,儦,儦,,,,,,,,,,
養養,养养,yang3~yang3,,BB,BB,养,养,,,"234,5778","234,5778",,,85,85,,
冥冥,冥冥,ming2~ming2,,BB,BB,冥,冥,,,"9,6346","9,6346",,,5,5,,
冬冬,冬冬,dong1~dong1,,BB,BB,冬,冬,,,"220,0049","220,0049",,,37,37,,
馮馮,冯冯,feng2~feng2,,BB,BB,冯,冯,,,"36,0691","36,0691",,,0,0,,
沖沖,冲冲,chong1~chong1,,BB,BB,冲,冲,,,"189,0864","189,0864",,,52,52,,
決決,决决,jue2~jue2,,BB,BB,决,决,,,"336,3654","336,3654",,,49,49,,
悽悽,凄凄,qi1~qi1,,BB,BB,凄,凄,,,"14,6765","14,6765",,,7,7,,
几几,几几,ji1~ji1,,BB,BB,几,几,,,"729,8469","729,8469",,,24,24,,
出出,出出,chu1~chu1,,BB,BB,出,出,,,"2396,4988","2396,4988",,,273,273,,
切切,切切,qie1~qie1,,BB,BB,切,切,,,"555,2889","555,2889",,,58,58,,
切切,切切,qie4~qie4,,BB,BB,切,切,,,"555,2889","555,2889",,,58,58,,
則則,则则,ze2~ze2,,BB,BB,则,则,,,165921,165921,,,17,17,,
別別,别别,bie2~bie2,,BB,BB,别,别,,,"1379,6741","1379,6741",,,77,77,,
刷刷,刷刷,shua1~shua1,,BB,BB,刷,刷,,,"149,0963","149,0963",,,20,20,,
剝剝,剥剥,bo1~bo1,,BB,BB,剥,剥,,,"15,5111","15,5111",,,7,7,,
勉勉,勉勉,mian3~mian3,,BB,BB,勉,勉,,,"14,8593","14,8593",,,6,6,,
匡匡,匡匡,kuang1~kuang1,,BB,BB,匡,匡,,,"1,7235","1,7235",,,1,1,,
卜卜,卜卜,bu3~bu3,,BB,BB,卜,卜,,,53284,53284,,,9,9,,
卜卜,卜卜,bo1~bo1,,BB,BB,卜,卜,,,53284,53284,,,9,9,,
卟卟,卟卟,bu3~bu3,,BB,BB,卟,卟,,,,,,,,,,
卡卡,卡卡,ka1~ka1,,BB,BB,卡,卡,,,"331,8074","331,8074",,,50,50,,
卬卬,卬卬,ang2~ang2,,BB,BB,卬,卬,,,,,,,,,,
即即,即即,ji2~ji2,,BB,BB,即,即,,,"313,3086","313,3086",,,24,24,,
反反,反反,fan3~fan3,,BB,BB,反,反,,,437921,437921,,,93,93,,
發發,发发,bo1~bo1,,BB,BB,发,发,,,"2698,6321","2698,6321",,,309,309,,
叩叩,叩叩,kou4~kou4,,BB,BB,叩,叩,,,"1,7235","1,7235",,,4,4,,
叫叫,叫叫,jiao4~jiao4,,BB,BB,叫,叫,,,"610,9037","610,9037",,,45,45,,
叭叭,叭叭,ba1~ba1,,BB,BB,叭,叭,,,"7,4321","7,4321",,,6,6,,
叮叮,叮叮,ding1~ding1,,BB,BB,叮,叮,,,"14,0988","14,0988",,,5,5,,
叱叱,叱叱,chi4~chi4,,BB,BB,叱,叱,,,"0,8494","0,8494",,,2,2,,
嘰嘰,叽叽,ji1~ji1,,BB,BB,叽,叽,,,5758,5758,,,5,5,,
吁吁,吁吁,xu1~xu1,,BB,BB,吁,吁,,,"4,4691","4,4691",,,5,5,,
吃吃,吃吃,chi1~chi1,,BB,BB,吃,吃,,,"1526,8444","1526,8444",,,43,43,,
吓吓,吓吓,he1~he1,,BB,BB,吓,吓,,,"96,8889","96,8889",,,9,9,,
吘吘,吘吘,hou1~hou1,,BB,BB,吘,吘,,,,,,,,,,
吞吞,吞吞,tun1~tun1,,BB,BB,吞,吞,,,"23,0025","23,0025",,,18,18,,
吟吟,吟吟,yin2~yin2,,BB,BB,吟,吟,,,8,8,,,9,9,,
吡吡,吡吡,bi3~bi3,,BB,BB,吡,吡,,,"0,5037","0,5037",,,1,1,,
吧吧,吧吧,ba5~ba5,,BB,BB,吧,吧,,,"3244,4938","3244,4938",,,5,5,,
吭吭,吭吭,keng1~keng1,,BB,BB,吭,吭,,,3684,3684,,,5,5,,
吱吱,吱吱,zi1~zi1,,BB,BB,吱,吱,,,"5,1951","5,1951",,,5,5,,
吱吱,吱吱,zhi1~zhi1,,BB,BB,吱,吱,,,"5,1951","5,1951",,,5,5,,
吼吼,吼吼,hou3~hou3,,BB,BB,吼,吼,,,"38,5185","38,5185",,,4,4,,
呀呀,呀呀,ya1~ya1,,BB,BB,呀,呀,,,"403,9259","403,9259",,,5,5,,
呃呃,呃呃,e4~e4,,BB,BB,呃,呃,,,"123,0272","123,0272",,,0,0,,
吶吶,呐呐,na4~na4,,BB,BB,呐,呐,,,"56,9531","56,9531",,,3,3,,
嚦嚦,呖呖,li4~li4,,BB,BB,呖,呖,,,,,,,,,,
呯呯,呯呯,peng1~peng1,,BB,BB,呯,呯,,,"0,4148","0,4148",,,0,0,,
呱呱,呱呱,gua1~gua1,,BB,BB,呱,呱,,,"6,6469","6,6469",,,5,5,,
呱呱,呱呱,gu1~gu1,,BB,BB,呱,呱,,,"6,6469","6,6469",,,5,5,,
呵呵,呵呵,he1~he1,,BB,BB,呵,呵,,,"133,3827","133,3827",,,8,8,,
呷呷,呷呷,xia1~xia1,,BB,BB,呷,呷,,,"1,2593","1,2593",,,0,0,,
呸呸,呸呸,pei1~pei1,,BB,BB,呸,呸,,,"4,1531","4,1531",,,0,0,,
呼呼,呼呼,hu1~hu1,,BB,BB,呼,呼,,,"194,2815","194,2815",,,46,46,,
咈咈,咈咈,fu2~fu2,,BB,BB,咈,咈,,,,,,,,,,
咋咋,咋咋,za3~za3,,BB,BB,咋,咋,,,"75,8963","75,8963",,,2,2,,
咕咕,咕咕,gu1~gu1,,BB,BB,咕,咕,,,"12,1284","12,1284",,,12,12,,
咚咚,咚咚,dong1~dong1,,BB,BB,咚,咚,,,4963,4963,,,4,4,,
咣咣,咣咣,guang1~guang1,,BB,BB,咣,咣,,,"1,0568","1,0568",,,1,1,,
咦咦,咦咦,yi4~yi4,,BB,BB,咦,咦,,,5763,5763,,,0,0,,
咩咩,咩咩,mie1~mie1,,BB,BB,咩,咩,,,"53,2543","53,2543",,,0,0,,
咪咪,咪咪,mi1~mi1,,BB,BB,咪,咪,,,"58,8741","58,8741",,,2,2,,
咭咭,咭咭,ji2~ji2,,BB,BB,咭,咭,,,,,,,,,,
咭咭,咭咭,ji1~ji1,,BB,BB,咭,咭,,,,,,,,,,
咯咯,咯咯,ge1~ge1,,BB,BB,咯,咯,,,"234,3358","234,3358",,,2,2,,
咴咴,咴咴,hui1~hui1,,BB,BB,咴,咴,,,,,,,,,,
咻咻,咻咻,xiu1~xiu1,,BB,BB,咻,咻,,,"2,2173","2,2173",,,0,0,,
咽咽,咽咽,yan1~yan1,,BB,BB,咽,咽,,,"13,8321","13,8321",,,9,9,,
咽咽,咽咽,ye4~ye4,,BB,BB,咽,咽,,,"13,8321","13,8321",,,9,9,,
咿咿,咿咿,yi1~yi1,,BB,BB,咿,咿,,,"2,3852","2,3852",,,1,1,,
哀哀,哀哀,ai1~ai1,,BB,BB,哀,哀,,,"42,4741","42,4741",,,22,22,,
哄哄,哄哄,hong1~hong1,,BB,BB,哄,哄,,,"20,2914","20,2914",,,10,10,,
哇哇,哇哇,wa1~wa1,,BB,BB,哇,哇,,,"204,4444","204,4444",,,5,5,,
哈哈,哈哈,ha1~ha1,,BB,BB,哈,哈,,,"925,0864","925,0864",,,28,28,,
哐哐,哐哐,kuang1~kuang1,,BB,BB,哐,哐,,,642,642,,,1,1,,
噠噠,哒哒,da1~da1,,BB,BB,哒,哒,,,"13,6049","13,6049",,,1,1,,
噦噦,哕哕,hui4~hui4,,BB,BB,哕,哕,,,,,,,,,,
嘩嘩,哗哗,hua1~hua1,,BB,BB,哗,哗,,,"11,0617","11,0617",,,8,8,,
噲噲,哙哙,kuai4~kuai4,,BB,BB,哙,哙,,,,,,,,,,
噥噥,哝哝,nong2~nong2,,BB,BB,哝,哝,,,"0,8395","0,8395",,,2,2,,
哞哞,哞哞,mou1~mou1,,BB,BB,哞,哞,,,"0,5531","0,5531",,,1,1,,
哦哦,哦哦,o1~o1,,BB,BB,哦,哦,,,"968,9531","968,9531",,,0,0,,
哧哧,哧哧,chi1~chi1,,BB,BB,哧,哧,,,"1,7086","1,7086",,,3,3,,
哰哰,哰哰,lao2~lao2,,BB,BB,哰,哰,,,,,,,,,,
哼哼,哼哼,heng1~heng1,,BB,BB,哼,哼,,,"43,9802","43,9802",,,5,5,,
唅唅,唅唅,han1~han1,,BB,BB,唅,唅,,,,,,,,,,
唉唉,唉唉,ai1~ai1,,BB,BB,唉,唉,,,"109,2691","109,2691",,,1,1,,
唏唏,唏唏,xi1~xi1,,BB,BB,唏,唏,,,2558,2558,,,1,1,,
唔唔,唔唔,wu2~wu2,,BB,BB,唔,唔,,,"239,4519","239,4519",,,0,0,,
嘮嘮,唠唠,lao2~lao2,,BB,BB,唠,唠,,,"12,7852","12,7852",,,2,2,,
唦唦,唦唦,sha1~sha1,,BB,BB,唦,唦,,,,,,,,,,
